,dot_id,label,x,y,flg_type#1,flg_type#2,flg_type#3,flg_type#4,flg_type#5,flg_type#6,flg_type#7,tsr_cfd,has_inf,inf_cfd,has_filter_desc,filter_cfd,source,flg_pos_r,flg_pos_sin,flg_size,flg_shape,pub_road_num,pri_road_num,road_class,fc,link_type,camera_num,furniture_num,guidance_num,forbid_num
98,272f4f0b009e40019b0b271f23b33732,1,108.22963100000001,25.722777,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,8,0.630589804,0.502175368,156.25,1.111111111,1,0,41000.0,1.0,0.0,8,18,0,0
2128,bb4c2792aaf84d1280552091725c7802,0,117.25658,31.840244000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,994,0,0,0,0,8,0.49508526399999997,0.476909996,222.00520830000002,0.46969697,0,4,47000.0,6.0,0.0,15,55,5,21
1821,9e574835aa034230857844a6854f2d8b,0,117.176777,31.859434000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,8,0.656134714,0.997000544,1750.108507,1.0,4,2,45000.0,5.0,0.0,17,39,43,24
1814,ec88f06ab6ab4f31bcd8b7bb0cab8795,1,115.77101200000001,28.603319,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.632854347,0.131678535,1083.984375,1.233333333,2,0,43000.0,2.0,0.0,4,16,0,1
560,dfaf0533d39a419f8a7e71381975c6f5,1,106.29550800000001,38.399343,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.430184687,0.271201347,194.4444444,1.75,1,0,41000.0,1.0,0.0,8,22,4,0
1167,06fb5daea72f4f2283884dcc46abeb64,0,115.883104,28.728821999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,1000,1,1000,8,0.817095728,0.950181064,2395.616319,1.248120301,1,0,43000.0,2.0,0.0,11,11,10,4
1688,7863bfa407d94830a36ca0be64c0d272,1,106.38428700000001,39.023286999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1000,8,0.8388895359999999,0.9817873229999999,1791.4496530000001,1.023622047,0,4,47000.0,6.0,0.0,15,36,13,25
251,0029de4b8aa9458280bd5fd59643f567,0,104.035241,30.707433,0.0,1.0,0.0,0.0,0.0,0.0,0.0,988,0,0,0,0,8,0.517440408,0.842823839,150.31645569999998,1.0555555559999998,3,1,45000.0,5.0,0.0,5,130,5,88
115,494a3ae9702a45babce5f8f5666972af,1,120.835551,29.595489,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1000,8,0.355047923,-0.997517922,55.33854167,2.266666667,2,0,41000.0,1.0,0.0,53,36,2,4
1700,035641c7d8f14f8e9357065a660da02f,0,104.077727,30.857895000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,0,0,1,0,8,0.9649023959999999,0.48220191,568.1423611,0.883116883,3,0,45000.0,5.0,0.0,1,3,0,2
639,0e2bad1791764f559939b3b0258349a6,0,117.14660900000001,31.840473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,1000,0,0,8,0.835866015,0.9753689740000001,1170.572917,1.425287356,2,0,44000.0,4.0,0.0,10,28,16,4
15,c3bd4baf15a3446f94713e4dfb2c6c97,0,117.24326299999998,31.841107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,0,0,0,0,8,0.20401398,-0.735243731,513.4548611,1.75,3,0,0.0,0.0,0.0,16,36,17,21
586,9539903cd4dd4b2ab03b95554f86d9f3,1,117.565698,39.325176,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1000,1,0.182912007,0.848896909,247.95532230000003,0.961538462,3,0,45000.0,5.0,0.0,0,0,0,0
1105,26ca4e31b19145ddaa127f668a8101f7,1,85.981588,41.834446,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,0,0,1,1000,8,0.612571743,0.612173193,812.5,1.4444444440000002,2,0,41000.0,5.0,0.0,18,14,1,0
683,e4c0a606ff6c4742a552677223449df5,0,117.25029099999999,31.868319,0.0,0.0,1.0,0.0,0.0,0.0,0.0,992,0,0,0,0,8,0.7815699620000001,0.41760674600000003,292.42621529999997,0.8909090909999999,3,1,44000.0,4.0,0.0,49,110,42,35
1583,694b951674aa4e23a374eadc203bef1e,0,117.212503,31.833098,0.0,0.0,0.0,0.0,1.0,0.0,0.0,983,0,0,0,0,8,0.464487305,-0.508326295,3529.513889,5.631578947,6,0,0.0,0.0,0.0,25,53,24,42
1289,0c70a6035fb54b5db4d1644a762de52c,0,120.335877,31.759596000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,999,1,1000,1,1000,8,0.86151398,0.925373518,269.53125,1.173913043,1,0,45000.0,5.0,0.0,4,25,12,10
1178,444d390fe86244c5ad3831d9c698bea1,0,121.07751499999999,30.078643,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,0,0,1,1000,8,0.20443583699999998,-0.380450799,18.22916667,0.857142857,2,0,44000.0,5.0,0.0,54,56,36,10
141,0b864128d0ff4c28a2cf90b9d23f0b0a,1,120.160178,35.948007000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.600145167,-0.055542117,19124.34896,0.79787234,6,1,45000.0,5.0,0.0,14,46,5,39
702,37cd7fc9f75f48a88ff1910ed0e41573,1,105.86175700000001,26.184704999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,8,0.644659926,0.7842205409999999,3777.777778,1.882352941,2,0,41000.0,1.0,0.0,8,9,1,0
64,15e0d0b3b5a54fb1b286d2fded5c2b86,0,117.21531599999999,31.852784000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1000,0,0,0,0,8,0.418117996,-0.43847271600000004,713.3246528,4.552631579,3,0,0.0,0.0,0.0,13,7,3,5
179,58b918c990db4b38b71e5d3cdccd92ef,1,116.416431,25.644416,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,0,0,1,1000,8,0.380247613,-0.966276262,49.71590909,0.7777777779999999,2,0,45000.0,2.0,0.0,0,8,3,0
1621,575d8a7f4f314aa5b2805818b7dbb7ba,0,111.998618,31.777996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,918,0,0,1,1000,8,1.071061895,0.44607858799999994,250.65104169999998,0.53030303,2,0,41000.0,1.0,0.0,4,16,1,0
1477,431c5d557370413994216ff326cb75d3,1,121.30400300000001,31.201741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,0,0,1,1000,8,1.162581672,0.78966973,364.9088542,0.966101695,3,0,43000.0,2.0,0.0,58,43,15,27
2348,4a1bd4448ebe4b288f4fec6c2215bac6,0,117.241098,31.895190999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,0,0,0,0,8,0.124187202,0.894706612,192.05729169999998,1.966666667,4,1,44000.0,4.0,0.0,9,47,25,16
1510,223d5cb03e544721931cc36d14a0bd06,1,115.149674,40.568427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.807694792,0.38690357200000003,2385.37721,0.946902655,2,0,41000.0,1.0,0.0,15,13,0,0
1048,52c960d1980f4bbab691f05019f4eb6c,1,120.59528600000002,31.272862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1000,8,0.46460475,-0.998459203,79.42708333,5.083333333,3,0,43000.0,2.0,0.0,37,55,32,20
2121,9ddef43aef864a959f3b85fdd497ed05,1,120.17735800000001,28.79594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.38254135799999994,0.294085849,441.6232638999999,1.345454545,1,0,45000.0,5.0,0.0,3,6,0,0
1387,72fb61f681ae49179748a83217b66797,1,94.34894,29.690134999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.67936301,0.167268989,1986.66351,0.896226415,1,0,42000.0,2.0,0.0,0,2,0,0
449,e3df1e789b784e699c1f06d8c360e220,0,117.159051,31.857007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,998,0,0,0,0,1,0.774444233,-0.008826894,44.05975342,1.047619048,2,0,0.0,0.0,0.0,6,29,22,5
1230,14773b9a8aaf4211a44c783187906383,1,104.86246000000001,26.586225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,486,0,0,1,1000,8,0.68121767,-0.219637891,100.61553029999999,1.764705882,2,0,44000.0,4.0,0.0,51,39,20,21
1538,6b6266fca26045f08f0c34f79ae7ac9c,1,127.195493,44.618404,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,1000,8,0.710426765,0.0053318359999999995,3330.965909,0.9402985070000001,1,0,41000.0,1.0,0.0,15,15,0,0
289,e0a6280f83ba495aaeb894695b850fc4,0,117.24625900000001,31.886322999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,996,0,0,0,0,8,1.065638874,0.48875219,290.7986111,0.597014925,3,0,44000.0,4.0,0.0,14,57,14,16
192,0c39919bfa904704aaae92d71c5e4159,1,113.440483,25.527310999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.84057165,0.38498932399999997,2140.082465,1.347107438,2,0,41000.0,1.0,0.0,9,14,1,0
544,1ee6d937145746d9ac2d1518dfb16728,0,117.25003400000001,31.868149,0.0,0.0,1.0,0.0,0.0,0.0,0.0,996,0,0,0,0,8,0.8304976759999999,0.061877222,96.89670139,0.404255319,0,1,0.0,0.0,0.0,49,110,42,35
1580,fcdfe92c10a64668b3d94a80f9a4e7d9,1,111.722769,27.651877000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,975,1,0,0,0,8,1.014005152,-0.632804148,141.27604169999998,0.738095238,1,0,41000.0,1.0,0.0,2,5,1,0
1914,ae61228daf2749fda6bd28a745855695,0,117.250421,31.864232,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,8,0.921765567,0.768452803,1549.479167,0.9916666670000001,3,1,44000.0,4.0,0.0,12,25,5,6
2250,e3ab6ac8e4f94193ad3b341e9b587908,0,117.14818899999999,31.839951,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,0,0,8,1.0376340929999999,0.898143624,840.0607639000001,3.2244897960000003,1,0,45000.0,4.0,0.0,23,23,4,22
2323,606b1c8734f34b289d06421a30aab955,1,103.787349,25.895526,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.53141157,0.9069137209999999,1243.297293,2.123287671,2,0,41000.0,1.0,0.0,3,4,1,0
7,009cd81af91e4433b0fa1812900730e2,0,110.317479,20.022849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,982,0,0,1,1000,8,0.40492782,-0.9466707759999999,9442.925347,7.7452830189999995,1,1,45000.0,4.0,0.0,14,47,12,59
2233,c78e09083fd14d8f892956c520e60372,0,117.16853200000001,31.857262,0.0,0.0,1.0,0.0,0.0,0.0,0.0,998,0,0,0,0,1,0.718809872,-0.012906533999999999,40.91262817,1.128205128,7,0,44000.0,4.0,0.0,18,50,46,23
339,8b7f49e21e864ec48de5524b84557cae,0,117.215566,31.840849,0.0,1.0,0.0,0.0,0.0,0.0,0.0,969,0,0,0,0,8,1.11351471,0.6598226460000001,161.1328125,0.7333333329999999,0,3,45000.0,6.0,0.0,15,43,18,23
1358,6de6959b7aa146e1a60a12d73e2ecc37,1,120.05378799999998,29.362834000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,8,0.11630700599999999,0.9553260370000001,1948.3506940000002,1.0,0,3,47000.0,6.0,0.0,30,68,22,10
1672,011c7acec8a741f48c19b46073dafaf6,0,114.35500400000001,30.581559000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,8,1.009021804,0.6689647320000001,1948.3506940000002,1.0,2,0,44000.0,4.0,0.0,28,34,16,84
517,9f1d8e380d4245bab65a63db6462f26d,0,117.240951,31.896240999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,996,0,0,0,0,1,0.369483103,0.44138943399999997,19.35958862,1.035714286,7,0,44000.0,4.0,0.0,24,75,32,30
402,3e596ff8d2e44be59410b58cc7202b12,1,112.46481399999999,22.740729,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1000,8,0.779922097,-0.313421617,4527.777778,2.546875,1,0,0.0,0.0,0.0,12,36,4,2
733,7f40eb82ac614100b82a3f428fcbc315,0,117.24199899999999,31.841054999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,0,0,8,0.317408796,-0.9932862029999999,107.31336809999999,1.869565217,1,0,0.0,0.0,0.0,16,36,17,21
1620,95edf29d7141499889159581caf43522,1,106.75998500000001,28.719285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,1,0.853992599,0.058319812,506.401062,1.5254237290000001,1,0,42000.0,2.0,0.0,4,7,0,0
1674,41d877645f9f4d019139c34eddabe25d,1,121.304755,31.199115999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1000,8,0.7201799940000001,0.765626501,801.5407986,0.93258427,3,0,43000.0,2.0,0.0,58,43,15,27
143,10dc48d1425f405fb5f0c623c2fdfb2b,0,117.238024,31.867494,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,8,0.630722094,0.057253600999999994,1948.3506940000002,1.0,1,0,0.0,0.0,0.0,16,31,17,34
559,6a43905c0b2044c0847270bd5b70c1fa,0,117.165203,31.857129999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,998,0,0,0,0,1,0.775840802,0.161744885,207.94868469999997,1.1011235959999999,3,0,44000.0,4.0,0.0,18,50,46,23
2139,000d12ca338740fabd953517df0a8fa0,0,116.46081399999998,39.874786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,960,0,0,1,1000,8,0.7737258090000001,0.531339534,75.95486111,0.892857143,5,1,44000.0,4.0,0.0,26,47,14,84
