dot_id,label,x,y,flg_type#1,flg_type#2,flg_type#3,flg_type#4,flg_type#5,flg_type#6,flg_type#7,tsr_cfd,has_inf,inf_cfd,has_filter_desc,filter_cfd,source,flg_pos_r,flg_pos_sin,flg_size,flg_shape,pub_road_num,pri_road_num,road_class,fc,link_type,camera_num,furniture_num,guidance_num,forbid_num
215a85eb64af4caaa1fbe6ad54c15e9c,0,117.215114,24.146361,0,1,0,0,0,0,0,995,0,0,0,0,8,0.720783136,0.181130147,283.0520394,0.821428571,2,0,41000,1,0,0,2,0,0
0867a3a602474cacb5caaa5ee7df0398,0,122.134349,41.149794,0,0,0,0,1,0,0,997,0,0,1,1000,8,0.244523592,-0.420318452,924.4791667,2.366666667,2,0,44000,3,0,0,21,0,1
b83fb05a47314687b32528a79099f92a,0,117.14824,31.839851,0,1,0,0,0,0,0,998,0,0,0,0,8,0.870038122,0.772635365,287.109375,0.907407407,1,0,45000,4,0,23,23,4,22
12d3a91e59cd4fed9f26302c8352be54,0,114.197376,30.565646,0,0,0,1,0,0,0,1000,1,1000,1,0,8,0.541816924,0.70749605,2826.564698,1.847457627,4,0,51000,3,0,26,87,43,50
a4f7d832e9d44f8aa2ba94f0029c607b,1,103.46877,30.513412,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.587656378,0.345061817,1976.5625,1.045454545,1,0,41000,1,0,4,21,2,0
f4ff3a92062d42fea1e2de461182550a,0,117.191107,31.853215,0,0,0,0,0,1,0,0,0,0,0,0,8,0.312548656,0.484369029,1628.255208,0.991869919,8,0,45000,4,0,68,101,41,68
5f38beed3627404e8d947ecea3ed886b,0,113.371509,28.204886,0,0,0,0,0,0,1,995,0,0,0,0,8,0,-1,36000,1.777777778,2,0,41000,1,0,6,5,0,0
59bc3e4d04844470a092162dfbbac94b,0,117.214591,31.840056,0,0,0,0,1,0,0,999,0,0,0,0,8,0.245880471,-0.824700623,353.2986111,1.681818182,1,0,44000,4,0,12,25,12,22
303afbfd9f1c4787a4580c4d8ce094c6,0,117.241227,31.85464,0,0,1,0,0,0,0,991,0,0,0,0,8,0.849310741,0.470970141,171.875,0.6875,0,3,45000,6,0,12,23,12,31
da4576f4b1624e4199ddfb2b133ca113,0,113.569334,34.340322,0,0,0,0,0,1,0,0,0,0,0,0,8,0.665230681,0.634700465,1777.777778,1,2,1,53000,5,0,0,0,0,0
